Bossière|La Conversion|67
Bossière|Grandvaux|67
Domdidier, gare|St-Aubin FR, bif.|26
Alpthal, Eigen|Alpthal, Gribsch|29
St. Niklaus VS, Schulhaus|St. Niklaus VS, Bahnhof|4
Huttwil, Stadt|Huttwil, Bahnhof|53
Grossteil, Schulhaus|Grossteil, Rüti|20
Wartensee|Wienacht-Tobel|32
Wiesendangen, Gemeindehaus|Wiesendangen, Leingrüebler|35
Kerzers, Bahnhof|Ins, Bahnhof|2
Sumiswald, Forum|Sumiswald, Arch|35
Lupsingen, Post|Lupsingen, Höfli|85
Murgenthal, Fahracker|Murgenthal, Bahnhof|23
Lugano, Vignola|Lugano, Cimitero|42
Châtillon JU, bas du village|Rossemaison, haut du village|27
Lichtensteig, Gurtberg|Lichtensteig, Gurtbergwald|38
Schweizerhalle|Grenzach-Wyhlen|4
Münchenbuchsee, Lindenweg|Münchenbuchsee, Coop|69
Giez, poste|Giez, La Pommelaz|12
Giez, poste|Giez, La Croix|13
Poiana|Brusino Arsizio, Rondello|7
Basel Markthalle|Basel Theater|21
Kreuzlingen, MOWAG|Kreuzlingen, Fliegaufstrasse|31
Nant VD|Corsier-sur-Vevey, Champ-d-Ban|20
Kreuzlingen, MOWAG|Tägerwilen, Glaserstrasse|75
Gryon|Gryon Bois-Gentil|35
Le Chalet-à-Gobet, collège|La Vulliette|85
Rorschach, Post|Rorschach, Kirchstrasse|14
Bougy-Villars, Dessus|Féchy, Cassivettes|16
Rothrist, Bahnhof|Rothrist, Grüebli|83
Hellikon, Ausserdorf|Wegenstetten, Abzw. Schupfart|86
Bilten, Sägestrasse|Bilten, Unterbilten|13
Faltigberg ZH, Höhenklinik|Wald ZH, Hittenberg|28
Raron, AlpTransit|Raron, Flugplatz|14
Les Mosses, église|La Comballaz, L'Ortier|24
Muri AG, Marktstrasse|Muri AG, Bahnhof|44
Croy-Romainmôtier, gare|Croy, anc. Battoir|40
Zürich Rehalp|Waldburg|130
Haslen AI, Linde|Haslen AI, Post|12
Genève-Pâquis SMGN|Port Noir|12
Brig, Termerweg|Brig, untere Bielastrasse|52
Bendern, Post|Schaan, Rössle|1
Niederuzwil, Augarten|Niederuzwil, Marienfried|82
Versoix|Coppet|7
Windisch, Zentrum|Gebenstorf, Reuss|47
Waldkirch, Post|Arnegg, Restaurant Ilge|1
Vicosoprano, Zocca|Vicosoprano, Nasciarina|20
Unteriberg, Jessenenbrücke|Unteriberg, Post|38
Frauenfeld, Kreuzplatz|Frauenfeld, Freiestrasse|4
Amriswil, Bahnhof|Hefenhofen, Hatswil|30
Wattwil, Post|Wattwil, ev. Kirche|42
Brig, Stützen|Ried-Brig, Lingwurm|69
Schlattli, Talstation|Ried (Muotatal), Post|143
Nusshof, Dorf|Wintersingen, Post|27
St-Ursanne|Courgenay|41
Oberscheid|Scheid, Plazza|24
Lamone-Cadempino|Lugano|78
Steinmaur, Obersteinmaur|Steinmaur, Gemeindehaus|37
Uttigen|Thun|77
Herlisberg, Oberreinach|Herlisberg, Dorfplatz|44
Martigny, Fond. Gianadda|Martigny, rue Martinets|61
Pilatus Kulm|Alpnachstad PB|28
Brienz BE, Dorf Rössli|Brienz BE, Gärbi|40
Morgins, poste|Morgins, garage communal|8
Orbe, collège|Orbe, croisée Agiez|10
Menzingen, Wilen|Menzingen, Harget|10
Montet (Broye), poste|Cugy FR, gare|16
Chandolin, poste|Chandolin, Les Litettes|17
Massonnens, Mottex|Massonnens, place|15
Le Châtelard VS, village|Trient, bif. rte Finhaut|9
Frauenfeld, SIA|Frauenfeld, Bahnhof|80
Binn, Langthal|Binn, Heiligkreuz|4
St-Martin VS, centre|St-Martin VS, Liez|12
Horgen, Bahnhof|Horgen, Altes Gemeindehaus|39
Corzoneso, Piano|Acquarossa-Comprovasco|60
Bern RBS|Bätterkinden|2
Ostermundigen, Wegmühlegässli|Ostermundigen, Wiesenstrasse|8
Rueun, Grava|Rueun, Las Dretgs|19
Zürich, Triemli|Zürich HB, Bahnhofplatz|4
Luggiwil|Düdingen, Schiffenen|43
Ragol|Vadura, Abzw. Bläs|28
Scharnachtal, Post|Reichenbach i. K., Bären|34
Oeschgen, Post|Oeschgen, Hinterdorf|33
Seidenberg|Muri b. Bern, Bahnhof|4
Wittenbach, Oedenhof Süd|Kronbühl, Kantonalbank|65
Grünenmatt, Bahnhof|Trachselwald|14
Zollikerberg|Spital Zollikerberg|130
Hofstetten SO, Mariasteinstr.|Hofstetten SO, Ettingerstrasse|82
Les Genevez JU, Les Vacheries|Les Genevez JU|11
St. Niklaus VS, Rossen|St. Niklaus VS, Flieltinen|37
Münchwilen Pflegeheim|Münchwilen TG|74
Chexbres, poste|Chexbres, Les Pergolas|18
Balzers, Post|Balzers, Hotel Post|143
Münchwilen Pflegeheim|Rosental|68
Bern, Petruskirche|Bern, Willadingweg|4
Willerzell, Kirche|Willerzell, Tschuppmoos|19
Bern, Petruskirche|Bern, Thunplatz|4
Biasca, Parco Emma|Biasca, Centro|17
Boudry|Colombier|40
Colombier VD, poste|Cottens VD, Laiterie|1
Dussnang, Kurhotel|Tannegg|4
Steinerberg|Sattel-Aegeri|27
Posieux, poste|Ecuvillens, église|54
Etziken, Dorf|Aeschi SO, Kirche|103
La Muraz, Mont d'Orge|Savièse, Zuppuy|52
Porrentruy, Mont Terri|Bressaucourt, bas du village|10
Villars-Burquin, Laiterie|Villars-Burquin, Consommation|23
Villars-Burquin, Laiterie|Vaugondry, bif.|24
Rorbas, Dorfplatz|Rorbas, Hirschen|99
Baar, Bahnhof|Baar, Kreuzplatz|212
Mettschlatt|Schlatt b. D'hofen, Bistro|23
Bischofszell, Hackborn|Bischofszell, Muggensturm|32
Erlenbach ZH, Bindschädler|Herrliberg, Holzwies|44
Les Reussilles, bif Montfaucon|Saignelégier, Moulin de Gruère|16
Wilen bei Wollerau, Schlyffi|Wollerau, Bahnhof|59
Grand-Blettay|Fully, Le Chenil|60
Herisau, Ifang|Herisau, Glattmüli|10
Nieder- und Oberurnen|Näfels-Mollis|62
Grüningen, Heispel|Grüningen, Adler|88
Aettenschwil, Post|Sins, Bahnhof|13
Richigen, Lochi|Ried bei Worb|16
Brusata (Novazzano), Costa|Brusata (Novazzano), Nord|41
Hofstetten b. Brienz, Rüttiweg|Hofstetten b. Brienz, Schried|38
Zilacher b. Rosshäusern|Brünnemoos b. Rosshäusern|19
Innerferrera, Post|Innerferrera,AbzwVal digl Uors|17
St. Gallen, Heiligkreuzstrasse|St. Gallen, Sonnrainweg|200
Meyriez, Fin de Meyriez|Greng, Schloss|41
Altbüron, Halde|Altbüron, Feld|31
Ewil Maxon|Giswil, Bahnhof|18
Courroux, La Plaine|Courroux, Sous-Rosé|4
Courcelon|Vicques, bas du village|79
Montignez|Buix, gare|20
Wittenbach, Oedenhof Süd|Wittenbach, Grünau|103
Freienbach, Oechsli|Freienbach, Leutschen|59
Siviriez|Romont|14
Zürich Flughafen, Fracht/OPS|Kloten, GAC|286
Monthey, piscine|Monthey, chemin des facteurs|12
Onex|Petit-Lancy, Les Esserts|231
Innerberg BE, Post|Murzelen, Sandbühl|56
Buchillon, Grands-Bois|Buchillon, collège|28
Näfels, Letz|Näfels, Schönegg|88
Duillier, croisée de Trélex|Coinsins, Mimorey|86
Windisch, Weiermatt|Windisch, Garage Knecht|110
Stechelberg, Post|Stechelberg, Schilthornbahn|67
Le Brouillet, bif. les Jordan|Le Brouillet, anc. poste|13
Reute AR, Post|Reute AR, Brücke|37
Ravoire, hôtel|Ravoire, Le Feylet|16
Grafstal, Unterdorf|Kyburg, Billikon|1
Rüschegg Gambach, Hirschhorn|Rüschegg Gambach, Dorf|22
Bonstetten, Chrüzacher|Hedingen, Dorf|2
Lenggenwil, Taa|Lenggenwil, Wiesental|44
Kalpetran KlKE|Embd KlKE|90
Baltschieder, Erb|Eggerberg, Windegg|35
Berisal, Kehr|Eisten, Ganterbrücke|14
Ottoberg, Schulhaus|Ottoberg, Wald|31
Vergeletto, Chiesa|Vergeletto, Paese|14
Bern, Bahnhofplatz|Wabern, Gurtenbahn|7
Berisal, Kehr|Berisal, Brände|14
Niederwil AG, Post|Wohlen AG, N'wilerstr/Sonnezyt|41
La Punt-Chamues-ch|Madulain|70
Habkern, Lombachbrücke|Habkern, Städeli|26
Menzingen, Post|Menzingen, Kreuzegg|230
Rüti b. R'berg, Unterplötsch|Rüti b. R'berg, Plötsch|4
Ospizio Bernina, Albergo|Ospizio Bernina, Stazione|8
Epsach-Baar|Epsach, Dorf|48
Brittnau, Nelkenweg|Brittnau, Kleinfeld|31
Hinterburg|Baar, Kreuzplatz|16
Safien Platz, Post|Mura (Safien)|23
Safien Platz, Post|Rüti (Neukirch)|23
Salins, Arvilard|Baar (Nendaz), village|55
Cimadera, Bivio per Cimadera|Piandera, Bivio per Piandera|6
Féchy, village|Féchy, Auberge|8
Mottec|Ayer, Pralong|15
Barberine-Château-d'Eau|Le Châtelard VS TTE|4
Les Ponts-de-Martel, Gde-Rue|Les Ponts-de-Martel, gare|36
Riggisberg, Spital|Riggisberg, Hasli|57
Davos Dorf, Alpenrose|Davos Dorf, Tschuggen|12
Zeneggen, Mittlere Hellela|Zeneggen, Saal|5
Les Ponts-de-Martel, Gde-Rue|Les Ponts-de-Martel, rue Pury|36
Winkel, Oberrüti|Winkel, Niderrüti|92
La Tour|Evolène, La Fauchère|21
Brienz BrS|Giessbach See|24
Marcelin (Morges)|Echichens, croisée|30
Branson, village|Branson, Pont du Rhône|60
Cerniat FR, Les Riaux|La Valsainte, anc. poste|13
Laax GR, Caltgera|Sagogn, Storta pintga|38
Schwellbrunn, Winkfeld|Waldstatt, Adler|44
Winterthur, Thaa|Winterthur, Klösterli|33
St-Maurice-de-Laques|Bluche-Randogne|34
Unterseen, Schulhaus Steindler|Unterseen, am Lauener|52
Turbach, Eigenmatte|Turbach, Fängli|16
Ins|Müntschemier|52
Vandoeuvres|Chevrier|120
La Joy-Clinique|Le Muids|57
Champfèr, Post|St. Moritz Bad, Post|8
Visp, Post|Visp, Hohfluh|18
Nunningen, Post|Nunningen, See|53
Adligenswil, Sagi|Adligenswil, Chliäbnet|220
Zeneggen, Post|Zeneggen, Bänna|27
Stansstad, Turnhalle|Stansstad, Schule|23
La Chaux-de-Fonds, gare|Le Crêt-du-Locle,rte cantonale|6
